descriptive_name,V2,original_name
subject_id,meaning of,subject_id
label,meaning of,label
activity_name,meaning of,activity_name
TimeBodyAccelerometerMean-X,meaning of,tBodyAcc-mean()-X
TimeBodyAccelerometerMean-Y,meaning of,tBodyAcc-mean()-Y
TimeBodyAccelerometerMean-Z,meaning of,tBodyAcc-mean()-Z
TimeGravityAccelerometerMean-X,meaning of,tGravityAcc-mean()-X
TimeGravityAccelerometerMean-Y,meaning of,tGravityAcc-mean()-Y
TimeGravityAccelerometerMean-Z,meaning of,tGravityAcc-mean()-Z
TimeBodyAccelerometerJerkMean-X,meaning of,tBodyAccJerk-mean()-X
TimeBodyAccelerometerJerkMean-Y,meaning of,tBodyAccJerk-mean()-Y
TimeBodyAccelerometerJerkMean-Z,meaning of,tBodyAccJerk-mean()-Z
TimeBodyGyroscopeMean-X,meaning of,tBodyGyro-mean()-X
TimeBodyGyroscopeMean-Y,meaning of,tBodyGyro-mean()-Y
TimeBodyGyroscopeMean-Z,meaning of,tBodyGyro-mean()-Z
TimeBodyGyroscopeJerkMean-X,meaning of,tBodyGyroJerk-mean()-X
TimeBodyGyroscopeJerkMean-Y,meaning of,tBodyGyroJerk-mean()-Y
TimeBodyGyroscopeJerkMean-Z,meaning of,tBodyGyroJerk-mean()-Z
TimeBodyAccelerometerMagnitudeMean,meaning of,tBodyAccMag-mean()
TimeGravityAccelerometerMagnitudeMean,meaning of,tGravityAccMag-mean()
TimeBodyAccelerometerJerkMagnitudeMean,meaning of,tBodyAccJerkMag-mean()
TimeBodyGyroscopeMagnitudeMean,meaning of,tBodyGyroMag-mean()
TimeBodyGyroscopeJerkMagnitudeMean,meaning of,tBodyGyroJerkMag-mean()
FrequencyBodyAccelerometerMean-X,meaning of,fBodyAcc-mean()-X
FrequencyBodyAccelerometerMean-Y,meaning of,fBodyAcc-mean()-Y
FrequencyBodyAccelerometerMean-Z,meaning of,fBodyAcc-mean()-Z
FrequencyBodyAccelerometer-meanFrequency-X,meaning of,fBodyAcc-meanFreq()-X
FrequencyBodyAccelerometer-meanFrequency-Y,meaning of,fBodyAcc-meanFreq()-Y
FrequencyBodyAccelerometer-meanFrequency-Z,meaning of,fBodyAcc-meanFreq()-Z
FrequencyBodyAccelerometerJerkMean-X,meaning of,fBodyAccJerk-mean()-X
FrequencyBodyAccelerometerJerkMean-Y,meaning of,fBodyAccJerk-mean()-Y
FrequencyBodyAccelerometerJerkMean-Z,meaning of,fBodyAccJerk-mean()-Z
FrequencyBodyAccelerometerJerk-meanFrequency-X,meaning of,fBodyAccJerk-meanFreq()-X
FrequencyBodyAccelerometerJerk-meanFrequency-Y,meaning of,fBodyAccJerk-meanFreq()-Y
FrequencyBodyAccelerometerJerk-meanFrequency-Z,meaning of,fBodyAccJerk-meanFreq()-Z
FrequencyBodyGyroscopeMean-X,meaning of,fBodyGyro-mean()-X
FrequencyBodyGyroscopeMean-Y,meaning of,fBodyGyro-mean()-Y
FrequencyBodyGyroscopeMean-Z,meaning of,fBodyGyro-mean()-Z
FrequencyBodyGyroscope-meanFrequency-X,meaning of,fBodyGyro-meanFreq()-X
FrequencyBodyGyroscope-meanFrequency-Y,meaning of,fBodyGyro-meanFreq()-Y
FrequencyBodyGyroscope-meanFrequency-Z,meaning of,fBodyGyro-meanFreq()-Z
FrequencyBodyAccelerometerMagnitudeMean,meaning of,fBodyAccMag-mean()
FrequencyBodyAccelerometerMagnitude-meanFrequency,meaning of,fBodyAccMag-meanFreq()
FrequencyBodyAccelerometerJerkMagnitudeMean,meaning of,fBodyBodyAccJerkMag-mean()
FrequencyBodyAccelerometerJerkMagnitude-meanFrequency,meaning of,fBodyBodyAccJerkMag-meanFreq()
FrequencyBodyGyroscopeMagnitudeMean,meaning of,fBodyBodyGyroMag-mean()
FrequencyBodyGyroscopeMagnitude-meanFrequency,meaning of,fBodyBodyGyroMag-meanFreq()
FrequencyBodyGyroscopeJerkMagnitudeMean,meaning of,fBodyBodyGyroJerkMag-mean()
FrequencyBodyGyroscopeJerkMagnitude-meanFrequency,meaning of,fBodyBodyGyroJerkMag-meanFreq()
AngleTimeBodyAccelerometerMeanGravity,meaning of,"angle(tBodyAccMean,gravity)"
